entity_name,year,population
Botswana,2017,2266748
Botswana,2018,2299148
Botswana,2019,2332081
Botswana,2020,2365895
Botswana,2021,2401449
Botswana,2022,2439895
Botswana,2023,2480242
Botswana,2024,2521145
Brazil,2017,204703440
Brazil,2018,206107265
Brazil,2019,207455459
Brazil,2020,208660845
Brazil,2021,209550291
Brazil,2022,210306411
Brazil,2023,211140731
Brazil,2024,211998564
British Virgin Islands,2017,32724
British Virgin Islands,2018,34682
British Virgin Islands,2019,36423
British Virgin Islands,2020,37160
British Virgin Islands,2021,37833
British Virgin Islands,2022,38344
British Virgin Islands,2023,39008
British Virgin Islands,2024,39498
Brunei,2017,432788
Brunei,2018,437813
Brunei,2019,442687
Brunei,2020,447412
Brunei,2021,451723
Brunei,2022,455374
Brunei,2023,458959
Brunei,2024,462733
Bulgaria,2017,7075639
Bulgaria,2018,7024746
Bulgaria,2019,6975467
Bulgaria,2020,6933654
Bulgaria,2021,6877222
Bulgaria,2022,6825863
Bulgaria,2023,6795804
Bulgaria,2024,6757687
Burkina Faso,2017,19894413
Burkina Faso,2018,20438288
Burkina Faso,2019,20961954
Burkina Faso,2020,21478692
Burkina Faso,2021,21995249
Burkina Faso,2022,22509037
Burkina Faso,2023,23025778
Burkina Faso,2024,23548782
Burundi,2017,11506765
Burundi,2018,11859444
Burundi,2019,12255339
Burundi,2020,12617042
Burundi,2021,12965487
Burundi,2022,13321101
Burundi,2023,13689455
Burundi,2024,14047788
Cambodia,2017,16073374
Cambodia,2018,16274521
Cambodia,2019,16481304
Cambodia,2020,16725482
Cambodia,2021,16974308
Cambodia,2022,17201717
Cambodia,2023,17423881
Cambodia,2024,17638804
Cameroon,2017,24128608
Cameroon,2018,24806379
Cameroon,2019,25506096
Cameroon,2020,26210566
Cameroon,2021,26915764
Cameroon,2022,27632771
Cameroon,2023,28372688
Cameroon,2024,29123748
Canada,2017,36808500
Canada,2018,37294997
Canada,2019,37782931
Canada,2020,38171901
Canada,2021,38454058
Canada,2022,38821260
Canada,2023,39299099
Canada,2024,39742428
Cape Verde,2017,512899
Cape Verde,2018,513417
Cape Verde,2019,514116
Cape Verde,2020,514684
Cape Verde,2021,516655
Cape Verde,2022,519750
Cape Verde,2023,522335
Cape Verde,2024,524877
Cayman Islands,2017,64562
Cayman Islands,2018,65963
Cayman Islands,2019,67346
Cayman Islands,2020,68701
Cayman Islands,2021,70126
Cayman Islands,2022,71609
Cayman Islands,2023,73055
Cayman Islands,2024,74476
Central African Republic,2017,4793511
Central African Republic,2018,4878664
Central African Republic,2019,4944707
Central African Republic,2020,5026629
Central African Republic,2021,5112102
Central African Republic,2022,5098038
Central African Republic,2023,5152417
Central African Republic,2024,5330692
Chad,2017,15622758
Chad,2018,16156535
Chad,2019,16685223
Chad,2020,17224685
Chad,2021,17828274
Chad,2022,18455319
Chad,2023,19319073
Chad,2024,20299130
Chile,2017,18558865
Chile,2018,18893186
Chile,2019,19197747
Chile,2020,19370619
Chile,2021,19456323
Chile,2022,19553032
Chile,2023,19658834
Chile,2024,19764772
China,2017,1412354742
China,2018,1419008963
China,2019,1423520354
China,2020,1426106083
China,2021,1426437276
China,2022,1425179562
China,2023,1422584937
China,2024,1419321279
Colombia,2017,48131076
Colombia,2018,49024463
Colombia,2019,49907987
Colombia,2020,50629997
Colombia,2021,51188174
Colombia,2022,51737944
Colombia,2023,52321152
Colombia,2024,52886360
Comoros,2017,756672
Comoros,2018,771596
Comoros,2019,786583
Comoros,2020,802172
Comoros,2021,818178
Comoros,2022,834192
Comoros,2023,850390
Comoros,2024,866633
Congo,2017,5351012
Congo,2018,5483129
Congo,2019,5616656
Congo,2020,5752791
Congo,2021,5892186
Congo,2022,6035107
Congo,2023,6182889
Congo,2024,6332969
Cook Islands,2017,17066
Cook Islands,2018,16622
Cook Islands,2019,16151
Cook Islands,2020,15663
Cook Islands,2021,15204
Cook Islands,2022,14747
Cook Islands,2023,14243
Cook Islands,2024,13749
Costa Rica,2017,4913177
Costa Rica,2018,4957814
Costa Rica,2019,4999551
Costa Rica,2020,5034323
Costa Rica,2021,5059992
Costa Rica,2022,5081765
Costa Rica,2023,5105527
Costa Rica,2024,5129910
Cote d'Ivoire,2017,26733377
Cote d'Ivoire,2018,27464175
Cote d'Ivoire,2019,28193014
Cote d'Ivoire,2020,28915452
Cote d'Ivoire,2021,29639735
Cote d'Ivoire,2022,30395003
Cote d'Ivoire,2023,31165651
Cote d'Ivoire,2024,31934229
Croatia,2017,4079198
Croatia,2018,4024868
Croatia,2019,3986338
Croatia,2020,3953957
Croatia,2021,3924607
Croatia,2022,3907031
Croatia,2023,3896024
Croatia,2024,3875325
Cuba,2017,11247825
Cuba,2018,11227118
Cuba,2019,11202847
Cuba,2020,11176349
Cuba,2021,11122169
Cuba,2022,11059821
Cuba,2023,11019931
Cuba,2024,10979781
Curacao,2017,168524
Curacao,2018,181593
Curacao,2019,189556
Curacao,2020,185026
Curacao,2021,185324
Curacao,2022,185351
Curacao,2023,185437
Curacao,2024,185481
Cyprus,2017,1254273
Cyprus,2018,1270743
Cyprus,2019,1286669
Cyprus,2020,1302250
Cyprus,2021,1317312
Cyprus,2022,1331376
Cyprus,2023,1344979
Cyprus,2024,1358287
Czechia,2017,10541343
Czechia,2018,10548935
Czechia,2019,10554871
Czechia,2020,10550130
Czechia,2021,10530683
Czechia,2022,10673216
Czechia,2023,10809722
Czechia,2024,10735858
Democratic Republic of Congo,2017,87083400
Democratic Republic of Congo,2018,90047647
Democratic Republic of Congo,2019,92947450
Democratic Republic of Congo,2020,95989999
Democratic Republic of Congo,2021,99148931
Democratic Republic of Congo,2022,102396974
Democratic Republic of Congo,2023,105789733
Democratic Republic of Congo,2024,109276265
Denmark,2017,5765168
Denmark,2018,5793825
Denmark,2019,5814619
Denmark,2020,5831530
Denmark,2021,5856773
Denmark,2022,5902898
Denmark,2023,5948134
Denmark,2024,5977417
Djibouti,2017,1054842
Djibouti,2018,1071886
Djibouti,2019,1088708
Djibouti,2020,1105194
Djibouti,2021,1121251
Djibouti,2022,1137100
Djibouti,2023,1152951
Djibouti,2024,1168727
Dominica,2017,68514
Dominica,2018,68193
Dominica,2019,67901
Dominica,2020,67589
Dominica,2021,67223
Dominica,2022,66850
Dominica,2023,66531
Dominica,2024,66224
Dominican Republic,2017,10666846
Dominican Republic,2018,10782049
Dominican Republic,2019,10894043
Dominican Republic,2020,11008297
Dominican Republic,2021,11123480
Dominican Republic,2022,11230734
Dominican Republic,2023,11331268
Dominican Republic,2024,11427558
East Timor,2017,1251710
East Timor,2018,1275965
East Timor,2019,1300943
East Timor,2020,1326051
East Timor,2021,1350142
East Timor,2022,1369299
East Timor,2023,1384292
East Timor,2024,1400638
Ecuador,2017,16759517
Ecuador,2018,17049542
Ecuador,2019,17340017
Ecuador,2020,17546058
Ecuador,2021,17682454
Ecuador,2022,17823900
Ecuador,2023,17980079
Ecuador,2024,18135478
Egypt,2017,103696057
Egypt,2018,105682093
Egypt,2019,107553159
Egypt,2020,109315119
Egypt,2021,110957004
Egypt,2022,112618251
Egypt,2023,114535772
Egypt,2024,116538256
El Salvador,2017,6213537
El Salvador,2018,6219801
El Salvador,2019,6222316
El Salvador,2020,6234680
El Salvador,2021,6255781
El Salvador,2022,6280316
El Salvador,2023,6309628
El Salvador,2024,6338198
Equatorial Guinea,2017,1562401
Equatorial Guinea,2018,1616425
Equatorial Guinea,2019,1670184
Equatorial Guinea,2020,1716479
Equatorial Guinea,2021,1758796
Equatorial Guinea,2022,1803550
Equatorial Guinea,2023,1847556
Equatorial Guinea,2024,1892522
Eritrea,2017,3150351
Eritrea,2018,3192763
Eritrea,2019,3240195
Eritrea,2020,3291277
Eritrea,2021,3350184
Eritrea,2022,3409452
Eritrea,2023,3470392
Eritrea,2024,3535610
Estonia,2017,1317432
Estonia,2018,1321971
Estonia,2019,1326821
Estonia,2020,1329674
Estonia,2021,1331750
Estonia,2022,1350092
Estonia,2023,1367194
Estonia,2024,1360549
Eswatini,2017,1158197
Eswatini,2018,1168931
Eswatini,2019,1179885
Eswatini,2020,1192733
Eswatini,2021,1206599
Eswatini,2022,1218921
Eswatini,2023,1230508
Eswatini,2024,1242830
Ethiopia,2017,109666482
Ethiopia,2018,112664155
Ethiopia,2019,115737385
Ethiopia,2020,118917671
Ethiopia,2021,122138590
Ethiopia,2022,125384285
Ethiopia,2023,128691696
Ethiopia,2024,132059770
Europe (UN),2017,747429208
Europe (UN),2018,748564859
Europe (UN),2019,749504129
Europe (UN),2020,749524039
Europe (UN),2021,748613503
Europe (UN),2022,746964589
Europe (UN),2023,745602869
Europe (UN),2024,745083825
Falkland Islands,2017,3541
Falkland Islands,2018,3549
Falkland Islands,2019,3541
Falkland Islands,2020,3537
Falkland Islands,2021,3524
Falkland Islands,2022,3515
Falkland Islands,2023,3498
Falkland Islands,2024,3492
Faroe Islands,2017,50267
Faroe Islands,2018,51061
Faroe Islands,2019,51868
Faroe Islands,2020,52615
Faroe Islands,2021,53324
Faroe Islands,2022,54039
Faroe Islands,2023,54738
Faroe Islands,2024,55418
Fiji,2017,918762
Fiji,2018,917184
Fiji,2019,914904
Fiji,2020,914970
Fiji,2021,916717
Fiji,2022,919428
Fiji,2023,924150
Fiji,2024,928802
Finland,2017,5508399
Finland,2018,5515732
Finland,2019,5521755
Finland,2020,5529617
Finland,2021,5541068
Finland,2022,5569299
Finland,2023,5601185
Finland,2024,5617313
France,2017,65284775
France,2018,65519539
France,2019,65729460
France,2020,65905273
France,2021,66083547
France,2022,66277412
France,2023,66438828
France,2024,66548532
French Guiana,2017,276158
French Guiana,2018,280971
French Guiana,2019,285576
French Guiana,2020,289063
French Guiana,2021,293023
French Guiana,2022,298319
French Guiana,2023,303409
French Guiana,2024,308536
French Polynesia,2017,280096
French Polynesia,2018,279824
French Polynesia,2019,279039
French Polynesia,2020,279219
French Polynesia,2021,279807
French Polynesia,2022,280389
French Polynesia,2023,281124
French Polynesia,2024,281815
Gabon,2017,2156902
Gabon,2018,2212320
Gabon,2019,2267710
Gabon,2020,2322536
Gabon,2021,2376728
Gabon,2022,2430752
Gabon,2023,2484790
Gabon,2024,2538954
Gambia,2017,2342192
Gambia,2018,2399634
Gambia,2019,2456847
Gambia,2020,2515744
Gambia,2021,2576014
Gambia,2022,2636473
Gambia,2023,2697848
Gambia,2024,2759999
Georgia,2017,3792861
Georgia,2018,3794881
Georgia,2019,3796721
Georgia,2020,3795680
Georgia,2021,3788450
Georgia,2022,3794783
Georgia,2023,3807494
Georgia,2024,3807668
Germany,2017,83104012
Germany,2018,83368506
Germany,2019,83559185
Germany,2020,83628711
Germany,2021,83697082
Germany,2022,84086228
Germany,2023,84548234
Germany,2024,84552236
Ghana,2017,30008363
Ghana,2018,30637591
Ghana,2019,31258942
Ghana,2020,31887801
Ghana,2021,32518662
Ghana,2022,33149151
Ghana,2023,33787915
Ghana,2024,34427416
Gibraltar,2017,34267
Gibraltar,2018,34883
Gibraltar,2019,35518
Gibraltar,2020,36197
Gibraltar,2021,36880
Gibraltar,2022,37631
Gibraltar,2023,38493
Gibraltar,2024,39348
Greece,2017,10753532
Greece,2018,10730845
Greece,2019,10718580
Greece,2020,10699370
Greece,2021,10579561
Greece,2022,10412481
Greece,2023,10242909
Greece,2024,10047813
Greenland,2017,56093
Greenland,2018,56099
Greenland,2019,56108
Greenland,2020,56105
Greenland,2021,56065
Greenland,2022,56014
Greenland,2023,55951
Greenland,2024,55864
Grenada,2017,115449
Grenada,2018,115703
Grenada,2019,115995
Grenada,2020,116353
Grenada,2021,116695
Grenada,2022,116928
Grenada,2023,117093
Grenada,2024,117216
Guadeloupe,2017,412701
Guadeloupe,2018,415185
Guadeloupe,2019,410267
Guadeloupe,2020,407400
Guadeloupe,2021,399156
Guadeloupe,2022,384703
Guadeloupe,2023,376519
Guadeloupe,2024,375112
Guam,2017,163503
Guam,2018,162691
Guam,2019,161821
Guam,2020,162167
Guam,2021,163741
Guam,2022,165193
Guam,2023,166523
Guam,2024,167788
Guatemala,2017,16567362
Guatemala,2018,16845688
Guatemala,2019,17103802
Guatemala,2020,17357331
Guatemala,2021,17598654
Guatemala,2022,17847877
Guatemala,2023,18124842
Guatemala,2024,18406367
Guernsey,2017,62215
Guernsey,2018,62458
Guernsey,2019,62807
Guernsey,2020,63128
Guernsey,2021,63436
Guernsey,2022,63748
Guernsey,2023,64042
Guernsey,2024,64304
Guinea,2017,12385668
Guinea,2018,12704776
Guinea,2019,13034349
Guinea,2020,13371187
Guinea,2021,13710516
Guinea,2022,14055137
Guinea,2023,14405469
Guinea,2024,14754780
Guinea-Bissau,2017,1877074
Guinea-Bissau,2018,1922166
Guinea-Bissau,2019,1967704
Guinea-Bissau,2020,2013259
Guinea-Bissau,2021,2058842
Guinea-Bissau,2022,2105537
Guinea-Bissau,2023,2153344
Guinea-Bissau,2024,2201359
Guyana,2017,768483
Guyana,2018,791563
Guyana,2019,807667
Guyana,2020,807487
Guyana,2021,815484
Guyana,2022,821636
Guyana,2023,826360
Guyana,2024,831093
Haiti,2017,10817758
Haiti,2018,10962373
Haiti,2019,11105164
Haiti,2020,11243847
Haiti,2021,11374592
Haiti,2022,11503604
Haiti,2023,11637402
Haiti,2024,11772561
High-income countries,2017,1231575719
High-income countries,2018,1237400303
High-income countries,2019,1243293724
High-income countries,2020,1246978178
High-income countries,2021,1248780604
High-income countries,2022,1254316684
High-income countries,2023,1261155613
High-income countries,2024,1265183132
Honduras,2017,9588143
Honduras,2018,9765209
Honduras,2019,9943637
Honduras,2020,10119637
Honduras,2021,10289882
Honduras,2022,10463881
Honduras,2023,10644855
Honduras,2024,10825704
Hong Kong,2017,7444890
Hong Kong,2018,7471189
Hong Kong,2019,7485816
Hong Kong,2020,7490240
Hong Kong,2021,7484604
Hong Kong,2022,7465914
Hong Kong,2023,7442738
Hong Kong,2024,7414915
Hungary,2017,9785606
Hungary,2018,9774395
Hungary,2019,9770346
Hungary,2020,9749460
Hungary,2021,9707848
Hungary,2022,9684306
Hungary,2023,9686463
Hungary,2024,9676135
Iceland,2017,343536
Iceland,2018,352861
Iceland,2019,360709
Iceland,2020,366626
Iceland,2021,372649
Iceland,2022,380368
Iceland,2023,387559
Iceland,2024,393404
India,2017,1359657392
India,2018,1374659068
India,2019,1389030303
India,2020,1402617692
India,2021,1414203889
India,2022,1425423212
India,2023,1438069597
India,2024,1450935779
Indonesia,2017,267346655
Indonesia,2018,269951847
Indonesia,2019,272489379
Indonesia,2020,274814864
Indonesia,2021,276758056
Indonesia,2022,278830529
Indonesia,2023,281190068
Indonesia,2024,283487932
Iran,2017,85026761
Iran,2018,86118000
Iran,2019,87051647
Iran,2020,87723446
Iran,2021,88455491
Iran,2022,89524247
Iran,2023,90608708
Iran,2024,91567737
Iraq,2017,39337357
Iraq,2018,40265629
Iraq,2019,41192172
Iraq,2020,42116604
Iraq,2021,43071210
Iraq,2022,44070556
Iraq,2023,45074055
Iraq,2024,46042015
Ireland,2017,4810258
Ireland,2018,4872557
Ireland,2019,4933491
Ireland,2020,4982604
Ireland,2021,5028430
Ireland,2022,5110013
Ireland,2023,5196629
Ireland,2024,5255018
Isle of Man,2017,83624
Isle of Man,2018,83815
Isle of Man,2019,83973
Isle of Man,2020,84079
Isle of Man,2021,84121
Isle of Man,2022,84144
Isle of Man,2023,84180
Isle of Man,2024,84182
Israel,2017,8361796
Israel,2018,8510068
Israel,2019,8657466
Israel,2020,8800379
Israel,2021,8942925
Israel,2022,9103144
Israel,2023,9256311
Israel,2024,9387015
Italy,2017,60390317
Italy,2018,60277496
Italy,2019,60130136
Italy,2020,59912763
Italy,2021,59729354
Italy,2022,59619106
Italy,2023,59499452
Italy,2024,59342870
Jamaica,2017,2815767
Jamaica,2018,2820103
Jamaica,2019,2823275
Jamaica,2020,2830746
Jamaica,2021,2837682
Jamaica,2022,2839151
Jamaica,2023,2839785
Jamaica,2024,2839183
Japan,2017,127064685
Japan,2018,126913433
Japan,2019,126699422
Japan,2020,126304536
Japan,2021,125679341
Japan,2022,124997586
Japan,2023,124370947
Japan,2024,123753042
Jersey,2017,102131
Jersey,2018,102530
Jersey,2019,102864
Jersey,2020,103138
Jersey,2021,103337
Jersey,2022,103493
Jersey,2023,103679
Jersey,2024,103856
Jordan,2017,10234227
Jordan,2018,10462310
Jordan,2019,10671892
Jordan,2020,10865231
Jordan,2021,11066358
Jordan,2022,11256268
Jordan,2023,11439219
Jordan,2024,11552883
Kazakhstan,2017,18651930
Kazakhstan,2018,18932725
Kazakhstan,2019,19209556
Kazakhstan,2020,19482117
Kazakhstan,2021,19743607
Kazakhstan,2022,20034612
Kazakhstan,2023,20330106
Kazakhstan,2024,20592575
Kenya,2017,49197760
Kenya,2018,50207110
Kenya,2019,51202829
Kenya,2020,52217327
Kenya,2021,53219165
Kenya,2022,54252456
Kenya,2023,55339007
Kenya,2024,56432945
Kiribati,2017,120288
Kiribati,2018,122097
Kiribati,2019,123928
Kiribati,2020,126110
Kiribati,2021,128386
Kiribati,2022,130481
Kiribati,2023,132539
Kiribati,2024,134520
Kosovo,2017,1768125
Kosovo,2018,1767748
Kosovo,2019,1755048
Kosovo,2020,1751415
Kosovo,2021,1741449
Kosovo,2022,1717950
Kosovo,2023,1700039
Kosovo,2024,1684797
Kuwait,2017,4154685
Kuwait,2018,4323388
Kuwait,2019,4442202
Kuwait,2020,4400146
Kuwait,2021,4360749
Kuwait,2022,4589514
Kuwait,2023,4838780
Kuwait,2024,4934508
Kyrgyzstan,2017,6220146
Kyrgyzstan,2018,6341733
Kyrgyzstan,2019,6494036
Kyrgyzstan,2020,6664142
Kyrgyzstan,2021,6820483
Kyrgyzstan,2022,6955792
Kyrgyzstan,2023,7073523
Kyrgyzstan,2024,7186014
Land-locked developing countries (LLDC),2017,503808945
Land-locked developing countries (LLDC),2018,515439801
Land-locked developing countries (LLDC),2019,528050257
Land-locked developing countries (LLDC),2020,541140668
Land-locked developing countries (LLDC),2021,553891679
Land-locked developing countries (LLDC),2022,566128949
Land-locked developing countries (LLDC),2023,579184957
Land-locked developing countries (LLDC),2024,592790371
Laos,2017,7018149
Laos,2018,7128045
Laos,2019,7237634
Laos,2020,7346533
Laos,2021,7453191
Laos,2022,7559007
Laos,2023,7665002
Laos,2024,7769823
Latin America and the Caribbean (UN),2017,631575440
Latin America and the Caribbean (UN),2018,637012157
Latin America and the Caribbean (UN),2019,642195533
Latin America and the Caribbean (UN),2020,646729386
Latin America and the Caribbean (UN),2021,650465295
Latin America and the Caribbean (UN),2022,654366789
Latin America and the Caribbean (UN),2023,658891516
Latin America and the Caribbean (UN),2024,663466076
Latvia,2017,1942599
Latvia,2018,1927586
Latvia,2019,1914267
Latvia,2020,1901119
Latvia,2021,1885592
Latvia,2022,1881058
Latvia,2023,1882400
Latvia,2024,1871874
Least developed countries,2017,1009200436
Least developed countries,2018,1033320501
Least developed countries,2019,1058226909
Least developed countries,2020,1083853564
Least developed countries,2021,1109397235
Least developed countries,2022,1134811919
Least developed countries,2023,1161055556
Least developed countries,2024,1188013120
Lebanon,2017,6160128
Lebanon,2018,5984120
Lebanon,2019,5794600
Lebanon,2020,5702401
Lebanon,2021,5718127
Lebanon,2022,5744494
Lebanon,2023,5773492
Lebanon,2024,5805963
Lesotho,2017,2157116
Lesotho,2018,2183612
Lesotho,2019,2209414
Lesotho,2020,2235727
Lesotho,2021,2261549
Lesotho,2022,2286112
Lesotho,2023,2311476
Lesotho,2024,2337427
Less developed regions,2017,6372441555
Less developed regions,2018,6451926601
Less developed regions,2019,6528919013
Less developed regions,2020,6602624618
Less developed regions,2021,6670349457
Less developed regions,2022,6737630544
Less developed regions,2023,6807234405
Less developed regions,2024,6875913453
"Less developed regions, excluding China",2017,4928362452
"Less developed regions, excluding China",2018,5001128397
"Less developed regions, excluding China",2019,5073567699
"Less developed regions, excluding China",2020,5144681850
"Less developed regions, excluding China",2021,5212174883
"Less developed regions, excluding China",2022,5280860580
"Less developed regions, excluding China",2023,5353175687
"Less developed regions, excluding China",2024,5425243049
"Less developed regions, excluding least developed countries",2017,5363241083
"Less developed regions, excluding least developed countries",2018,5418606082
"Less developed regions, excluding least developed countries",2019,5470692036
"Less developed regions, excluding least developed countries",2020,5518771103
"Less developed regions, excluding least developed countries",2021,5560952242
"Less developed regions, excluding least developed countries",2022,5602818604
"Less developed regions, excluding least developed countries",2023,5646178846
"Less developed regions, excluding least developed countries",2024,5687900319
Liberia,2017,4848927
Liberia,2018,4944727
Liberia,2019,5043720
Liberia,2020,5149471
Liberia,2021,5259326
Liberia,2022,5373296
Liberia,2023,5493034
Liberia,2024,5612812
Libya,2017,6738770
Libya,2018,6849060
Libya,2019,6951038
Libya,2020,7045404
Libya,2021,7135180
Libya,2022,7223804
Libya,2023,7305660
Libya,2024,7381028
Liechtenstein,2017,37871
Liechtenstein,2018,38157
Liechtenstein,2019,38462
Liechtenstein,2020,38793
Liechtenstein,2021,39062
Liechtenstein,2022,39336
Liechtenstein,2023,39621
Liechtenstein,2024,39894
Lithuania,2017,2829318
Lithuania,2018,2802484
Lithuania,2019,2795057
Lithuania,2020,2795766
Lithuania,2021,2794489
Lithuania,2022,2816922
Lithuania,2023,2854105
Lithuania,2024,2859113
Low-income countries,2017,624556994
Low-income countries,2018,642186193
Low-income countries,2019,660718368
Low-income countries,2020,679560751
Low-income countries,2021,698215211
Low-income countries,2022,716865787
Low-income countries,2023,736466397
Low-income countries,2024,756667876
Lower-middle-income countries,2017,3017492210
